project_name,customer,general_contractor,announcement_date,project_value,jobs_created,city,county,state,article_url,source
,,,,,,,,,https://example.com/high-speed-rail,NC
,,,,,,,,,https://example.com/green-energy-park,NC
,,,,,,,,,https://example.com/highway-expansion,NC
,,,,,,,,,https://example.com/nyc-skyscraper,NC
,,,,,,,,,https://example.com/sf-bridge,NC
,,,,,,,,,https://example.com/chicago-hospital,NC
,,,,,,,,,https://example.com/miami-residential,NC
"SPP Grows Workforce in Little Rock, Arkansas to Support Regional Market Expansion",Southwest Power Pool (SPP),,"January 20, 2026",$150 million,"190 new engineering, IT, market administration, and support jobs, including about 165 in Little Rock. This investment creates quality jobs, strengthens our local talent pipeline, and delivers lasting benefits for working families across our community.",Little Rock,Pulaski County,Arkansas,https://www.arkansasedc.com/news-events/newsroom/detail/2026/01/20/spp-grows-workforce-in-little-rock--arkansas-to-support-regional-market-expansion,AR
,,,,,,,,,https://example.com/news/skyscraper-project,AL
,,,,,,,,,https://example.com/news/bridge-construction,AL
,,,,,,,,,https://example.com/news/green-energy-building,AL
,,,,,,,,,https://example.com/news/highway-expansion,AL
,,,,,,,,,https://example.com/news/housing-development,AL
,,,,,,,,,https://www.nola.com/news/business/innovation/tulane-inspired-vc-fund-reaches-fundraising-milestone-shreveport-org-to-support-energy-startups/article_4776c939-c8eb-48e0-b3bc-966007601caf.html,LA
,,,,,,,,,https://bizneworleans.com/startup-prize-energy-launched-in-louisiana/,LA
